0.9
node parent1 parent2 dist pt eta phi m
396 375 387 0.662758467579 1.83031028516 -7.68621701114 -0.819964431177 3.71466071599
375 12 283 0.340761224681 1.71282630973 -7.50252503968 -0.350182402134 1.70168537726
12 -1 -1 0 1.52190223844 -7.45116102097 -0.513814927642 0.13957
283 4 28 0.0471125561071 0.325720459022 -7.30418920167 0.514905457443 0.609492216943
4 -1 -1 0 0.216836372752 -7.29058156476 0.475247122002 0.49368
28 -1 -1 0 0.109392926234 -7.32608630183 0.593575900858 0
387 29 359 0.494598869578 0.832497016865 -6.96545259975 -2.01818803088 1.20195816566
29 -1 -1 0 0.0404420408293 -5.23559671388 -2.15198671775 0
359 2 5 0.226735795861 0.792434799697 -7.00612128877 -2.01137989586 1.14155238464
2 -1 -1 0 0.290811703635 -6.62727104018 -1.88209742236 0.13957
5 -1 -1 0 0.505442468385 -7.16643976265 -2.08562509954 0.93827
