0.9
node parent1 parent2 dist pt eta phi m
400 378 399 0.802108241453 1.6258842641 8.21382852717 1.7257665751 6.7612464752
378 101 112 0.351395864755 0.584950323861 9.01541151178 2.0363584978 2.97476598637
101 -1 -1 0 0.470128124328 9.12473145666 1.92034064117 0.49368
112 -1 -1 0 0.129929012404 8.25128772355 2.46853880852 0.93827
399 384 391 0.88739346355 1.08376873427 7.00015272565 1.56005345325 2.47639383237
384 348 383 0.405112092861 0.560963588966 7.38161820986 0.593851507609 0.542978290572
348 135 138 0.170071067172 0.172290805722 7.97285412342 0.372745093247 0.0319406581605
135 -1 -1 0 0.0906274437146 8.09527095529 0.265506966919 0
138 -1 -1 0 0.0827544384867 7.80348965534 0.490230649446 0
383 113 136 0.43732569299 0.394679982515 6.92407807406 0.689734057092 0.301605791308
113 -1 -1 0 0.273241739119 6.59682492347 1.05672340346 0.13957
136 -1 -1 0 0.170614746338 7.0714197529 0.0775773131339 0
391 354 362 0.619477353622 0.893351701054 5.77458222794 2.10295174597 0.880735022275
354 144 311 0.209055161106 0.712807598641 5.11035324755 1.72007311248 0.17199174111
144 -1 -1 0 0.337870556636 4.9194833389 1.53625636763 0
311 142 143 0.0757506205493 0.385606576913 5.22776606917 1.88092154626 0.0328721813193
142 -1 -1 0 0.175824146359 5.13228903977 1.89540344701 0
143 -1 -1 0 0.20981631749 5.30115309858 1.8687859728 0
362 111 145 0.245649791509 0.353287298722 6.17354797213 2.95674072129 0.176191251765
111 -1 -1 0 0.308766812763 6.210549081 2.87430671223 0.13957
145 -1 -1 0 0.0521815634889 5.71174091124 -2.81753739289 0
