Jet #1 Particle Count: 35
 452 453 454 455 456 457 636 637 638 640 642 643 644 753 754 755 756 757 758 759 760 761 762 858 859 860 861 862 863 923 924 925 926 927 928
Jet #2 Particle Count: 19
 338 342 593 707 708 710 711 712 713 832 833 892 893 970 971 973 974 990 991
Jet #3 Particle Count: 47
 392 395 396 400 404 406 607 608 609 610 611 613 615 617 620 733 734 735 736 737 738 739 740 742 743 842 843 844 845 846 847 884 885 886 887 913 914 917 918 919 920 921 975 976 977 978 979
Jet #4 Particle Count: 63
 470 471 475 478 483 484 489 491 493 646 647 648 649 650 651 652 653 654 655 772 773 774 775 776 779 780 781 782 783 784 785 787 788 790 929 930 931 932 933 934 935 936 937 938 939 940 941 942 943 945 946 948 949 982 983 985 986 987 996 997 999 1001 1002
Jet #5 Particle Count: 40
 419 421 423 430 431 432 433 435 622 623 624 626 628 629 631 632 634 745 746 747 748 749 750 752 848 849 850 851 852 853 854 855 856 857 888 889 992 993 994 995
nJets: 5
id pT eta phi m
211 0.180433345729 1.95120409649 -1.80315807314 0.13957
321 3.8238144901 0.665127968306 -1.44691114056 0.49368
211 1.59748123006 0.712093537749 0.484921279761 0.13957
2112 1.42022456386 2.23902962726 1.87287919205 0.93957
-2212 0.312204663548 3.73340527173 1.5190909129 0.93827
211 1.13965548024 1.92570955289 2.09788061678 0.13957
-211 0.77293457447 -2.48765362249 0.629726107472 0.13957
211 0.0914970767057 -4.05241328618 3.00432112666 0.13957
-321 0.110808724435 -0.17050020821 1.46285646612 0.49368
2112 0.473075125762 -1.81337371095 -1.96619597858 0.93957
-2212 0.565881050414 -0.208171439693 -1.42002692867 0.93827
-211 0.0798457212042 1.11522738868 2.9868717294 0.13957
-211 4.33418275635 0.66559711898 -0.118313403348 0.13957
-211 0.0626331223428 1.34212412955 2.34578327796 0.13957
211 0.968112858893 0.685033732354 0.353635611906 0.13957
-211 2.04043610648 0.190111220382 1.90823314743 0.13957
-211 1.28208641648 0.886916392915 2.91018120937 0.13957
211 1.10609724633 1.43524670007 -2.97568619956 0.13957
-211 0.218609833052 1.22020580134 -2.36962138831 0.13957
-211 7.91529512463 1.12312947825 2.04311285379 0.13957
211 6.22907180322 1.18397587845 2.05192404586 0.13957
321 1.86780186255 1.15828352688 1.85049903622 0.49368
-321 0.583276550231 1.87747030389 0.910003563951 0.49368
2212 0.867575284912 1.71676370966 -2.99321246798 0.93827
-2212 0.74400307692 1.89166130827 0.966191345653 0.93827
211 0.1735758814 2.43924649675 -2.84830048469 0.13957
211 7.91604212725 1.44334039786 -1.45541725671 0.13957
-211 0.591768652119 -4.64663033907 1.5992912772 0.13957
211 0.22530882226 -5.44558999186 -0.195011260126 0.13957
-211 0.290811703635 -6.62727104018 -1.88209742236 0.13957
321 0.180130808441 -5.41382560347 0.6555032402 0.49368
-321 0.216836372752 -7.29058156476 0.475247122002 0.49368
2212 0.505442468385 -7.16643976265 -2.08562509954 0.93827
321 0.470128124328 9.12473145666 1.92034064117 0.49368
-321 0.350617690065 8.37797494262 -2.15582381773 0.49368
211 0.340388035187 5.27544969852 -1.98874585972 0.13957
-211 0.162265323876 3.56374659332 1.42348926784 0.13957
211 0.706092217064 1.17803566117 -0.666889063562 0.13957
-2212 0.170491310679 3.57928937507 -0.666547994237 0.93827
-211 1.06377588194 0.764092365758 -0.469550789656 0.13957
2212 2.11194036835 1.02125827973 -0.686605395504 0.93827
-321 2.01207344881 1.10581354644 -0.918269718176 0.49368
-211 0.545284987175 4.40829842073 -2.38712835796 0.13957
-211 0.412852349264 2.52390581508 -1.80399331792 0.13957
