# pt eta phi
# Event 0
0.591768652119 -4.64663033907 1.5992912772
0.22530882226 -5.44558999186 -0.195011260126
0.290811703635 -6.62727104018 -1.88209742236
0.180130808441 -5.41382560347 0.6555032402
0.216836372752 -7.29058156476 0.475247122002
0.505442468385 -7.16643976265 -2.08562509954
1.66784482146 1.26560687515 -1.12210490027
2.39765071002 1.03871933304 -1.07679510582
0.544539030022 1.13678550152 -1.75970519711
0.215743236788 -1.98584089091 2.22062457855
0.31039297682 0.861801811157 0.982967813265
0.408613783209 -0.176901441809 -1.69632170031
1.52190223844 -7.45116102097 -0.513814927642
0.169942757462 1.6058239202 -1.44458236501
0.0116106235582 3.91289957947 -2.54258262555
0.0922753854504 0.222797169483 -1.92810830364
0.124451274887 1.39573073202 -2.14213606069
0.133629720163 1.84896719203 2.13833735628
0.122996694836 1.05694027378 2.82061592477
0.374898680767 -2.21916127522 -0.0989880735296
0.316836923338 -3.64741932482 -0.440742147777
0.210969737906 -2.69278179974 -2.55240759527
0.731531453268 -2.42724430379 -2.76993042791
0.0193810260801 -1.5171380305 -0.0993709155823
0.195977471592 -0.130195443804 -1.94585416956
0.113874966735 0.370459468618 -0.359844948079
0.146306802409 1.24889182177 -0.88649825888
0.056936907706 -5.77913823822 0.470244368663
0.109392926234 -7.32608630183 0.593575900858
0.0404420408293 -5.23559671388 -2.15198671775
0.178051535675 -4.35584770283 -0.729205945858
0.107398540697 -4.4438967768 0.0878696615978
0.0638761444061 -5.90371540748 0.433656882821
0.0540880208999 -3.36711030253 -1.16864118921
0.197554670506 -4.42159047057 -0.456365981215
0.180433345729 1.95120409649 -1.80315807314
3.8238144901 0.665127968306 -1.44691114056
0.501036779583 0.607172094265 -1.70720541614
0.627027573187 1.50926738787 -2.10407564575
11.4187286331 1.53763506406 -1.63965188216
0.977255073003 1.36219655626 -1.56765804427
1.37145779856 1.33330422102 -1.45464122232
1.05953942285 0.662808718018 -1.16140809302
0.262137243846 0.775778524471 -2.07209855712
0.58974557758 1.14271543548 -1.00709159589
0.5059817211 0.927509579786 -0.886332852969
0.540328739126 0.998402154085 -1.36702359358
0.102855881786 0.457289805959 -1.20005105435
15.7073383234 1.35826816921 -1.52686264631
9.81396389929 1.42803122561 -1.5235075991
0.67408673221 1.41294401329 -1.44350855488
2.21295661149 1.42509844853 -1.55340942865
9.15086285203 1.46905548508 -1.51418431073
0.13357668129 1.56167098073 -1.59371453415
0.0626331223428 1.34212412955 2.34578327796
0.968112858893 0.685033732354 0.353635611906
2.04043610648 0.190111220382 1.90823314743
1.28208641648 0.886916392915 2.91018120937
1.10609724633 1.43524670007 -2.97568619956
0.218609833052 1.22020580134 -2.36962138831
5.37221936484 -0.0682166776815 1.48415578999
4.21344864803 -0.223829951646 1.53302164208
6.26099542642 -0.173829008827 1.49799042218
0.175654123321 0.65971827231 -0.152612245055
0.518081534833 -0.432233694964 2.65484372779
0.970533818029 0.993038121443 2.60248420085
0.325136504935 1.99875395436 2.57110926454
0.965722278467 1.66398513689 2.83396857834
6.94581589689 0.881802285699 -2.75619259134
1.3957416512 -0.137350484455 1.46650511419
0.759196327618 0.101931618821 1.48124478496
0.218721499041 0.00433313720183 1.16338207407
0.365042778471 1.31073747831 -3.1234252475
0.202437562143 1.08615442056 2.78702674521
0.927034415538 1.37599211886 2.96768016317
0.970624187806 1.09223219079 2.97870728899
0.559909212682 1.11146799737 3.11677868055
1.58549770587 0.953926625903 -2.61635651087
0.373101926987 0.809916567048 -2.57041070839
0.568863918216 1.54841682748 -2.78865804392
0.262210859388 1.61047995295 2.41006047008
0.00429844771583 -0.0505211704113 1.2731189753
1.15040792642 0.8041066199 -2.96772201238
0.148752199038 1.28593312837 2.77378195612
1.10544483315 1.14513875202 3.07650548772
1.47888818941 1.24179007824 2.86484922045
0.482309293668 1.69553260063 2.74628134593
4.88956164397 0.867208138267 -2.67449417112
0.584714714015 0.762107619268 -2.69713233639
5.63073737954 -0.06952662484 1.48739562094
7.77111725677 -0.148073410624 1.46791461191
0.368271281804 1.0398072532 3.02496890963
1.53044839659 1.06873624472 -3.08053111711
1.076583005 0.835062467077 -2.89652079014
0.0225990817528 1.01144059013 -2.72758855848
0.797503093655 0.970849758308 -2.87279329794
6.95696249307 -0.185346897512 1.44908083015
0.768392030403 -0.160813225111 1.43265719336
0.357577021511 -0.139771247341 1.69001512694
0.208415922081 -0.384857800573 1.4838067682
2.0717846665 -0.199720539322 1.57227434022
0.470128124328 9.12473145666 1.92034064117
