0.9
node parent1 parent2 dist pt eta phi m
398 389 394 0.83196379353 132.820756702 1.66414196052 -1.14486359689 116.302850495
389 357 366 0.605814203632 0.946967430204 4.90056755497 -1.76087971302 0.842588833314
357 14 334 0.223595156439 0.521523129522 4.05257293257 -1.70898483164 0.186426158257
14 -1 -1 0 0.0116106235582 3.91289957947 -2.54258262555 0
334 115 120 0.127889609442 0.513790189757 4.04796564177 -1.69225352687 0.173187408797
115 -1 -1 0 0.437000581185 3.979642662 -1.67377689053 0.13957
120 -1 -1 0 0.0772870756734 4.36059816139 -1.79691008161 0
366 103 121 0.281864970088 0.42700418378 5.42807074599 -1.82427572902 0.227240650025
103 -1 -1 0 0.340388035187 5.27544969852 -1.98874585972 0.13957
121 -1 -1 0 0.10688874315 5.66005535805 -1.27578692782 0
394 370 382 0.649915271673 132.048987974 1.47842068644 -1.140720073 90.6201176525
370 106 114 0.309762272052 0.748804271294 3.92307204 0.00389370073346 2.33583021141
106 -1 -1 0 0.170491310679 3.57928937507 -0.666547994237 0.93827
114 -1 -1 0 0.624269640252 3.92895926005 0.174407848631 0.13957
382 376 380 0.396500278316 131.741198298 1.41658835766 -1.1458955774 80.9941527433
376 345 358 0.348495078998 69.3595849036 1.47943858015 -1.55548469725 15.0901580754
345 324 330 0.158545291318 68.9608798697 1.45858999047 -1.54879376174 11.2976076104
324 306 319 0.101763425269 67.982788781 1.4562626589 -1.5386724304 9.2912563601
306 35 187 0.0654354104139 3.59369138484 1.7503500061 -1.71031846292 0.609735453939
35 -1 -1 0 0.180433345729 1.95120409649 -1.80315807314 0.13957
187 -1 -1 0 3.41407605376 1.73836350877 -1.70541893091 0.13957
319 8 305 0.0921689650756 64.4448301505 1.43649771188 -1.52914757532 6.84757598827
8 -1 -1 0 0.544539030022 1.13678550152 -1.75970519711 0.13957
305 290 297 0.0650430271539 63.9148212403 1.43854044405 -1.52720063458 6.21306717918
290 150 282 0.0548040312794 1.09390465168 1.58906016442 -1.32647393007 0.0810339389658
150 -1 -1 0 0.100410992916 1.74666644533 -1.2761096478 0
282 13 201 0.0465825534153 0.993633839547 1.57164179637 -1.33156132899 0.0534418297038
13 -1 -1 0 0.169942757462 1.6058239202 -1.44458236501 0
201 -1 -1 0 0.824997994534 1.56300154895 -1.30832737437 0
297 224 268 0.0610044298421 62.8432585448 1.43541197286 -1.53067125005 5.75518990621
224 39 53 0.0128199133683 11.5521660283 1.5379270153 -1.63912089941 0.124084234617
39 -1 -1 0 11.4187286331 1.53763506406 -1.63965188216 0.10566
53 -1 -1 0 0.13357668129 1.56167098073 -1.59371453415 0
268 252 265 0.0359414013089 51.3741787678 1.40952375308 -1.50633027783 3.19668665247
252 223 246 0.0257143610903 31.2892867522 1.44317999308 -1.50248227695 1.29106703625
